 &plot nbnd=  36, nks=    91 /
            0.500000  0.500000  0.500000
   -8.351   -8.257   -8.257   -8.194   -8.194   -4.349   -0.099    5.462    5.462    7.493
   11.150   11.150   14.218   16.908   18.503   18.503   19.001   19.767   19.767   26.054
   28.209   28.955   28.955   29.647   29.647   32.720   33.198   34.622   34.622   35.315
   35.315   36.229   39.441   39.441   39.937   40.211
            0.475000  0.475000  0.475000
   -8.351   -8.258   -8.258   -8.194   -8.194   -4.368   -0.065    5.467    5.467    7.498
   11.153   11.153   14.220   16.789   18.324   18.324   19.119   19.970   19.970   25.807
   28.464   28.464   28.473   30.151   30.151   32.118   33.832   34.605   34.605   35.303
   35.303   36.211   39.475   39.475   39.903   40.241
            0.450000  0.450000  0.450000
   -8.350   -8.258   -8.258   -8.194   -8.194   -4.423    0.034    5.482    5.482    7.514
   11.162   11.162   14.227   16.497   17.956   17.956   19.407   20.411   20.411   25.282
   27.754   27.754   29.027   30.904   30.904   31.399   34.555   34.555   34.672   35.269
   35.269   36.157   39.575   39.575   39.816   40.333
            0.425000  0.425000  0.425000
   -8.348   -8.258   -8.258   -8.195   -8.195   -4.509    0.193    5.507    5.507    7.539
   11.175   11.175   14.229   16.134   17.550   17.550   19.749   20.941   20.941   24.712
   27.039   27.039   29.474   30.932   31.687   31.687   34.477   34.477   35.217   35.217
   35.525   36.073   39.704   39.737   39.737   40.482
            0.400000  0.400000  0.400000
   -8.345   -8.259   -8.259   -8.195   -8.195   -4.619    0.405    5.541    5.541    7.575
   11.191   11.191   14.209   15.772   17.151   17.151   20.051   21.514   21.514   24.217
   26.336   26.336   29.256   31.206   32.473   32.473   34.383   34.383   35.161   35.161
   35.966   36.360   39.606   39.954   39.954   40.683
            0.375000  0.375000  0.375000
   -8.342   -8.260   -8.260   -8.196   -8.196   -4.745    0.662    5.585    5.585    7.620
   11.206   11.206   14.129   15.470   16.778   16.778   20.215   22.113   22.113   23.897
   25.652   25.652   28.636   31.937   33.220   33.220   34.293   34.293   35.126   35.126
   35.842   37.120   39.585   40.219   40.219   40.932
            0.350000  0.350000  0.350000
   -8.338   -8.261   -8.261   -8.196   -8.196   -4.882    0.958    5.638    5.638    7.674
   11.217   11.217   13.943   15.286   16.440   16.440   20.158   22.726   22.726   23.837
   24.997   24.997   27.943   32.781   33.763   33.763   34.291   34.291   35.203   35.203
   35.708   37.688   39.765   40.526   40.526   41.222
            0.325000  0.325000  0.325000
   -8.333   -8.262   -8.262   -8.197   -8.197   -5.023    1.286    5.699    5.699    7.737
